nombre git,nombre,encabezado,name,tipo,estado,autor,tags,notas de forma,notas de contenido,videos,video comp 1,video comp 2,Columna 1,Columna 2
insp-tinkerer-since-kid,¿Desde pequeño se te facilita desarmar y armar juguetes ?,,,Inspiración,Por hacer,,Vamos a romper,,,,,,,
insp-voltaje-test01,Prueba # 01 SOLE Voltaje,,,Inspiración,Modificar,Nicolás,Metodologías,,Ajustar para que cualquier la entienda (narrativa + filtrar qué va y qué no),,,,,
insp-voltaje-test02,Prueba # 02 SOLE Voltaje,,,Inspiración,Modificar,Nicolás,Metodologías,,Ajustar para que cualquier la entienda (narrativa + filtrar qué va y qué no),,,,,
insp-voltaje-test03,Prueba # 03 SOLE Voltaje,,,Inspiración,Modificar,Nicolás,Metodologías,,Ajustar para que cualquier la entienda (narrativa + filtrar qué va y qué no),,,,,
insp-voltaje-test04,Prueba # 04 SOLE Voltaje,,,Inspiración,Modificar,Nicolás,Metodologías,,Ajustar para que cualquier la entienda (narrativa + filtrar qué va y qué no),,,,,
insp-voltaje-tests,"Estamos contruyendo una plataforma con mucho Voltaje, ¿te nos unes?",,Photo Gallery - Voltaje Tests,Inspiración,Ampliar,Manuela,"De Voltaje a SOLE, Historias potentes",,Ponerle una narrativa al asunto,,,,,
insp-what-is-internet,¿Qué es el internet?,,What is the Internet? A blanket of solidarity,Inspiración,Ampliar,Sanjay,Sobre el internet,,,,,,,
insp-what-is-tinkering,¿Qué es cacharrear?,,,Inspiración,Prioritario,,"Vamos a romper, De Voltaje a SOLE, Sobre el internet",,,,,,,
insp-who-are-tinkerers,¿Quién es un cacharrero?,,,Inspiración,Prioritario,,"Vamos a romper, De Voltaje a SOLE, Sobre el internet",,,,,,,
insp-who-is-solecolombia,SOLE Colombia: ¿Quiénes somos?,,,Inspiración,Publicado,Manuela,De Voltaje a SOLE,,,https://www.youtube.com/embed/F50DtSwJ0cQ,,,,
insp-who-pays-web-content,¿Quién paga por las canciones que escuchas en YouTube?,,,Inspiración,Por hacer,,Sobre el internet,,Sobre la publicidad y cómo funciona esto.,,,,,
